name_en,issn,eissn,abdc_rating,jif,jcr_quartile,jcr_rank,jcr_publisher,cas_zone_2025,cas_discipline,name_cn,cas_zone_2023,cas_top
ACADEMY OF MANAGEMENT JOURNAL,0001-4273,1948-0989,A*,10.5,Q1,12/420,ACAD MANAGEMENT,1,管理,ACADEMY OF MANAGEMENT JOURNAL,1.0,Y
Academy of Management Learning & Education,1537-260X,1944-9585,A*,5.2,Q1,24/756,ACAD MANAGEMENT,2,管理,Academy of Management Learning & Education,2.0,
ACADEMY OF MANAGEMENT REVIEW,0363-7425,1930-3807,A*,13.9,Q1,3/316,ACAD MANAGEMENT,1,管理,ACADEMY OF MANAGEMENT REVIEW,1.0,Y
Accident Analysis and Prevention,0001-4575,1879-2057,A*,6.2,Q1,7/271,PERGAMON-ELSEVIER SCIENCE LTD,1,工程技术,ACCIDENT ANALYSIS AND PREVENTION,1.0,Y
ACCOUNTING ORGANIZATIONS AND SOCIETY,0361-3682,1873-6289,A*,4.0,Q1,41/241,PERGAMON-ELSEVIER SCIENCE LTD,2,管理,ACCOUNTING ORGANIZATIONS AND SOCIETY,2.0,
ACM Transactions on Computer-Human Interaction,1073-0516,1557-7325,A*,6.6,Q1,25/258,ASSOC COMPUTING MACHINERY,1,计算机科学,,,
ADMINISTRATIVE SCIENCE QUARTERLY,0001-8392,1930-3815,A*,6.5,Q1,56/420,SAGE PUBLICATIONS INC,1,管理,ADMINISTRATIVE SCIENCE QUARTERLY,1.0,Y
Advances in Experimental Social Psychology,0065-2601,1557-8410,A*,,,,,,,,,
American Economic Journal-Applied Economics,1945-7782,1945-7790,A*,6.2,Q1,34/617,AMER ECONOMIC ASSOC,1,,American Economic Journal-Applied Economics,1.0,Y
American Economic Journal-Economic Policy,1945-7731,1945-774x,A*,5.3,Q1,47/617,AMER ECONOMIC ASSOC,1,,American Economic Journal-Economic Policy,1.0,Y
American Economic Journal-Macroeconomics,1945-7707,1945-7715,A*,5.7,Q1,41/617,AMER ECONOMIC ASSOC,1,,American Economic Journal-Macroeconomics,1.0,Y
American Economic Journal-Microeconomics,1945-7669,1945-7685,A*,2.1,Q2,202/617,AMER ECONOMIC ASSOC,2,,American Economic Journal-Microeconomics,2.0,
American Journal of Agricultural Economics,0002-9092,1467-8276,A*,3.3,Q1,104/617,WILEY,2,,AMERICAN JOURNAL OF AGRICULTURAL ECONOMICS,2.0,
AMERICAN JOURNAL OF INTERNATIONAL LAW,0002-9300,0272-5037,A*,2.3,Q1,33/434,CAMBRIDGE UNIV PRESS,2,,AMERICAN JOURNAL OF INTERNATIONAL LAW,2.0,
AMERICAN JOURNAL OF POLITICAL SCIENCE,0092-5853,1540-5907,A*,5.6,Q1,7/322,WILEY,1,,AMERICAN JOURNAL OF POLITICAL SCIENCE,1.0,Y
AMERICAN JOURNAL OF PUBLIC HEALTH,0090-0036,1541-0048,A*,9.6,Q1,13/419,AMER PUBLIC HEALTH ASSOC INC,2,医学,AMERICAN JOURNAL OF PUBLIC HEALTH,1.0,Y
AMERICAN JOURNAL OF SOCIOLOGY,0002-9602,1537-5390,A*,3.6,Q1,11/219,UNIV CHICAGO PRESS,1,,AMERICAN JOURNAL OF SOCIOLOGY,1.0,Y
AMERICAN POLITICAL SCIENCE REVIEW,0003-0554,1537-5943,A*,5.8,Q1,6/322,CAMBRIDGE UNIV PRESS,1,,AMERICAN POLITICAL SCIENCE REVIEW,1.0,Y
AMERICAN PSYCHOLOGIST,0003-066X,1935-990X,A*,7.2,Q1,10/221,AMER PSYCHOLOGICAL ASSOC,1,,AMERICAN PSYCHOLOGIST,1.0,Y
AMERICAN SOCIOLOGICAL REVIEW,0003-1224,1939-8271,A*,6.2,Q1,4/219,SAGE PUBLICATIONS INC,1,,AMERICAN SOCIOLOGICAL REVIEW,1.0,Y
Annals of Applied Probability,1050-5164,,A*,1.8,Q1,38/167,INST MATHEMATICAL STATISTICS-IMS,2,,ANNALS OF APPLIED PROBABILITY,2.0,
Annals of Applied Statistics,1932-6157,1941-7330,A*,1.4,Q2,61/167,INST MATHEMATICAL STATISTICS-IMS,4,,Annals of Applied Statistics,4.0,
Annals of Probability,0091-1798,,A*,2.5,Q1,21/167,INST MATHEMATICAL STATISTICS-IMS,1,,ANNALS OF PROBABILITY,1.0,Y
Annals of Statistics,0090-5364,,A*,3.7,Q1,8/167,INST MATHEMATICAL STATISTICS-IMS,1,,ANNALS OF STATISTICS,1.0,Y
ANNALS OF TOURISM RESEARCH,0160-7383,1873-7722,A*,7.8,Q1,2/219,PERGAMON-ELSEVIER SCIENCE LTD,1,管理,ANNALS OF TOURISM RESEARCH,1.0,Y
Annual Review of Psychology,0066-4308,1545-2085,A*,29.4,Q1,1/221,ANNUAL REVIEWS,1,,Annual Review of Psychology,1.0,Y
Annual Review of Sociology,0360-0572,1545-2115,A*,9.0,Q1,1/219,ANNUAL REVIEWS,1,,Annual Review of Sociology,1.0,Y
AUDITING-A JOURNAL OF PRACTICE & THEORY,0278-0380,1558-7991,A*,2.8,Q2,67/241,AMER ACCOUNTING ASSOC,3,管理,AUDITING-A JOURNAL OF PRACTICE & THEORY,3.0,
Automation in Construction,0926-5805,1872-7891,A*,11.5,Q1,1/183,ELSEVIER,1,工程技术,AUTOMATION IN CONSTRUCTION,1.0,Y
BIOMETRICS,0006-341X,1541-0420,A*,1.7,Q2,47/167,OXFORD UNIV PRESS,3,,BIOMETRICS,4.0,
BIOMETRIKA,0006-3444,1464-3510,A*,2.8,Q1,18/167,OXFORD UNIV PRESS,1,,BIOMETRIKA,2.0,Y
BIOSTATISTICS,1465-4644,1468-4357,A*,2.0,Q1,35/167,OXFORD UNIV PRESS,3,,BIOSTATISTICS,3.0,
BOSTON UNIVERSITY LAW REVIEW,0006-8047,,A*,1.7,Q1,63/434,BOSTON UNIV LAW REVIEW,3,,BOSTON UNIVERSITY LAW REVIEW,3.0,
BRITISH JOURNAL OF INDUSTRIAL RELATIONS,0007-1080,1467-8543,A*,2.2,Q2,21/52,WILEY,4,,BRITISH JOURNAL OF INDUSTRIAL RELATIONS,2.0,
British Tax Review,0007-1870,,A*,,,,,,,,,
Cambridge Law Journal,0008-1973,1469-2139,A*,1.4,Q1,90/434,CAMBRIDGE UNIV PRESS,3,,Cambridge Law Journal,2.0,
Canadian Tax Journal,0008-5111,,A*,,,,,,,,,
COLUMBIA LAW REVIEW,0010-1958,1945-2268,A*,3.0,Q1,18/434,COLUMBIA JOURNAL TRANSNATIONAL LAW ASSOC,1,,COLUMBIA LAW REVIEW,2.0,Y
Commercial Law Journal,1833-9506,,A*,,,,,,,,,
CONTEMPORARY ACCOUNTING RESEARCH,0823-9150,1911-3846,A*,3.8,Q1,48/241,WILEY,3,管理,CONTEMPORARY ACCOUNTING RESEARCH,3.0,
Cornell Law Review,0010-8847,,A*,,,,,3,,CORNELL LAW REVIEW,2.0,
Decision Sciences,0011-7315,1540-5915,A*,2.5,Q3,229/420,WILEY,4,,DECISION SCIENCES,4.0,
Decision Support Systems,0167-9236,1873-5797,A*,6.8,Q1,21/258,ELSEVIER,2,管理,DECISION SUPPORT SYSTEMS,1.0,Y
Econometric Theory,0266-4666,1469-4360,A*,1.0,Q3,98/167,CAMBRIDGE UNIV PRESS,4,,ECONOMETRIC THEORY,4.0,
ECONOMETRICA,0012-9682,1468-0262,A*,7.1,Q1,4/167,WILEY,1,,ECONOMETRICA,1.0,Y
ECONOMIC THEORY,0938-2259,1432-0479,A*,1.1,Q3,372/617,SPRINGER,3,,ECONOMIC THEORY,3.0,
Energy Economics,0140-9883,1873-6181,A*,14.2,Q1,1/617,ELSEVIER,1,,Energy Economics,2.0,Y
ENTREPRENEURSHIP THEORY AND PRACTICE,1042-2587,1540-6520,A*,7.9,Q1,25/316,SAGE PUBLICATIONS INC,2,管理,ENTREPRENEURSHIP THEORY AND PRACTICE,1.0,
Environment and Planning A-Economy and Space,0308-518X,1472-3409,A*,4.0,Q1,17/173,SAGE PUBLICATIONS INC,1,,Environment and Planning A-Economy and Space,1.0,Y
Environment and Planning B,0265-8135,1472-3417,A*,,,,,,,,,
EUROPEAN ECONOMIC REVIEW,0014-2921,1873-572X,A*,2.4,Q2,160/617,ELSEVIER,2,,EUROPEAN ECONOMIC REVIEW,2.0,
